ID,Date,#TouchedClasses
abb6ced9ddb20ef760f5083d6519bbe1037a16d2,2006-05-02T03:54:43,0
c4f7354a25c1dee2fcaec044b00efe82b7399b33,2006-05-02T04:04:22,0
69c646bf1a9ead6b621a56fd81cd2406fb7a747a,2006-05-09T00:53:48,0
3e039e7e3766d1dec0b2cb9b2bd9189555d0082c,2006-05-09T01:03:44,0
c3d9053a6b2d64f57a6657a0570055071c559a6c,2006-05-14T04:09:10,0
c64c2ca062ea353fdce8197f45a6fcc7e1d98a38,2006-05-14T05:25:56,120
b38bdc89ccb582ef006d84d726aebf63b35ccafe,2006-05-14T05:38:55,16
42cbc4dd743d0072aea113d13788f9324eb193e0,2006-05-14T06:06:09,0
e6584f2f7490ee77caad0c349866c5c395ec086a,2006-05-14T22:29:21,0
9d8d5d02e365b7b76477422d3740b692592db8c7,2006-05-14T23:05:41,1
b9183699ba5e4eb2335772077f2b0d8918767fb8,2006-06-28T21:34:33,146
46e7dbf647b3ae5653e242218f7723f0b0dd5e89,2006-06-28T21:46:13,266
67410de676d5a77588829e97edbe1e251839f99d,2006-06-29T01:38:05,0
bf8ffa5ced5bda9a67d87fc43bd4336509112e74,2006-07-01T00:37:18,282
f025bd4015c8b5969bdcf8f71a16674c42060105,2006-07-01T02:20:02,1
00652be8fdb0007e6b0b624a370b9837c2854019,2006-07-10T09:45:45,1
1fede626e2cad16f7bb4d77dd9fc3270a8b6b331,2006-07-11T02:35:10,721
b9636bb8786de3ffbc3c897f4fe5f38e979c9df7,2006-07-11T03:00:34,8
7a6d34e95f66e916e44b844b1ce6551ba8169539,2006-07-12T03:06:30,490
3feb467900547ecac8be5acadcdb02f79433db33,2006-07-12T03:32:26,0
26ee3648c3985b0e9b69201c3725a37518759aee,2006-07-12T21:07:34,11
4bc5b3bd0f9b0df5259b93666555f1a45b6f0f57,2006-07-13T21:04:14,3
4ddf63ea3f0ed80c6efa8877201d909900965244,2006-07-14T00:45:48,50
7cf69d8bccc218d9013f81574916e9ae06afbd68,2006-07-14T01:44:20,584
e27f636729b8e1fe67f8f6fdb741c962f04fe9cb,2006-07-14T02:47:40,20
1baedb7e8a81e33e731ade1bd35a13ae01683224,2006-07-14T05:05:22,1
6577d2f166a07688870db4014961ec1f8b5b4ead,2006-07-14T09:43:04,3
32baa428fe8f575255f2e18987689d05d04f58b3,2006-07-14T21:48:07,5
2d8ee34a01f6e0b08b2be44f15e434d16523ea9d,2006-07-15T18:40,13
9fd87ae45c1be381de35d7a1f14233d9de4e7905,2006-07-15T18:56:41,0
6936fc0d59ddfdbd903580572acd198cd53b86e5,2006-07-17T19:35:39,1
99eb918da3e5dbf1253a57e2b0a2b41f666457a4,2006-07-18T20:10:59,4
19b401bcc7a1059ac04de3a9abce2d3a99121cf1,2006-07-19T00:32:16,4
89f6359ebc163a62f246fc2c9057b6b7071d7ece,2006-07-19T01:52:09,4
f9eb746445e84c4d2fab223175ed54cdac45cede,2006-07-19T03:37:08,1
7d1c8fccafcd31919a79edf46969c5662e2704b5,2006-07-19T23:34:44,447
aad47c26bdcb9edfef7f2022d1605d0f7b698a90,2006-07-19T23:56:52,22
b108a39e7ec1719df17034f9f0083477be816951,2006-07-20T00:50:34,945
a1f4fd3eb0c3e7e80f73c1a06bc0cb7c29249503,2006-07-20T03:15:04,7
09e89d9cbb2523696e19ac6c1bca52d6b3b6ebe1,2006-07-20T04:38:07,1
fc9321f35e252d60186482393d63e967587af2d2,2006-07-20T19:24:09,3
7bd0d044e3b65fc046fce6fccad65a8d85d5ced4,2006-07-21T17:53:31,2
958386b2b2d4e5a68da35c9ca6401817adb92286,2006-07-21T17:54:20,1
b028e31507fc194b4e57bbb3ce4a5fd78fa2f98e,2006-07-21T17:54:56,1
ca8633ab49759e186ca79a4d9c66c394c16693f5,2006-07-21T22:55:44,3
7f6a84d433fc5a0a52cdeae06e5b7a955e59076c,2006-07-23T21:46:08,1
775c33d4fc177c010f40400bd3e2085d787cfac8,2006-07-24T00:01:21,1
aafabcf1694d1627c0b48db51b26f409e4c1700a,2006-07-24T00:01:46,1
7ded1815868d29a41f78c767e6234bbcf08a8532,2006-07-24T00:08:11,1
a9bb3a637797351178d7a33745e834519005ee61,2006-07-24T20:04:50,1
42136d9d12d3e718f84d2d84c2bc9019efb1c264,2006-07-24T20:08:30,1
98e8533cb0c6418329cb9a7b1d4514fbeca4720e,2006-07-25T02:50:25,0
884ff1b86393b49d0d88fc95a7b80511dd9cb7c3,2006-07-25T09:10:26,24
3b1cb17cbae7af2b985e3e7c11833282d1db58a2,2006-07-25T20:14:45,73
e9aa22eddc521128fa8dd0a97215eb0dfee5388c,2006-07-25T21:42:50,2
bbb2d060b004901c62301d5e9cbd28bbb68f9302,2006-07-25T21:49:48,2
0201c01e30861eee40f5f30d5c54ee68b4e6e06b,2006-07-26T00:57:10,0
5556a4085c4386547d32e7904c421d79d03bb629,2006-07-26T01:14:45,1
3c702ef0d146ec04efad3f03bb774324d64f729a,2006-07-26T06:24:28,0
c3845a42323def46e5249873f2b189c3dd7c4dcb,2006-07-26T09:36:39,0
5c61ff4970eccaac3a30e313e057c4c8fa74cd35,2006-07-26T09:36:54,0
01d05dfbb8c073735d0b98f56f5a4a13366706a8,2006-07-26T09:47:27,0
1fc9187ac7a2dc3a2c812ed139146eb8760e75d0,2006-07-26T09:56:59,0
2209bd4050d8a99ecbcc86dc295135e00bd28e55,2006-07-26T10:07:18,0
1a41108b1bb67b2d617b46d152453b7426c99704,2006-07-26T10:10:08,0
22a112d4dae148ee0fab72e7499c3db9896bc241,2006-07-26T10:18:22,0
a57637c783898c5dc6623beb1416d310f37120de,2006-07-26T10:27:43,0
f41a4a8942155903251a4778855a07a946991a17,2006-07-26T10:28:01,0
52ccceb9c450115e20058a068d17485e8387fb65,2006-07-26T10:45:19,0
f217051f5668553406cdeb9f7ebd6600166f2a09,2006-07-26T10:58:35,0
8c8a0a923dc8b84614a363704dd5ce53bda0d942,2006-07-26T19:15:58,0
0bf2166ede8a848174331605897bb2fed84a4f98,2006-07-26T20:50:51,1
f75ef7b7f93714ee6e4ae6f9dc8d2dc7cffa9af2,2006-07-26T21:59:12,1
b79f86b6a78d2dde8b82082ffea8bfad9273dca4,2006-07-27T03:31:45,0
64db31069570bd99547f26c77d8f8174c8d7d0a1,2006-07-27T21:57:37,3
650ca6f27f3fa50965004a5c656420e1b188f897,2006-07-27T21:59:09,1
1236605135400dd42e4942d25cff310ac304dac0,2006-07-27T22:27:45,11
7268ed8f805241fd4e21343020d301f827c381af,2006-07-28T03:16:51,1
c105fe6094531558832760a4eafc1218aff30714,2006-07-28T20:12:02,3
1a6d7d547cdbf79c6bc06c93b6e636f167f00fb9,2006-07-28T20:18:41,0
604703c6d1e9c9920eaa09932d027007acd37617,2006-07-28T21:58:44,3
5698420f656b38a55691742e6b33971fbe068abc,2006-07-28T23:25:10,0
3b6518f17455c07a475412311a950bded5701fbc,2006-07-29T01:19:43,1
979d2340e93eaaa9f273a100dbe78e42ea9ed400,2006-07-29T01:48:13,133
f279a6790b13829dda3c0c741bd6f97a93159dc4,2006-07-31T20:24:44,3
696cbee04b6d5d27e1473f3feac5ba227e37987c,2006-07-31T20:50:19,1
2fd7381e5342d83861504517d3ab27d2b5569a79,2006-07-31T21:36:46,3
a95e7007cf7cf208b8dbade6b633cfb1d2d164fc,2006-07-31T23:23:16,1
72398bcea0e300802ed74db167649a28c1c2d88c,2006-08-01T01:13,1
803e15990dbd28a5ee35523d82c24d2b5aaf3dff,2006-08-01T02:55:41,1
eb96e89f4d55d240fdfcb3ea236492f84312a8af,2006-08-01T07:03:08,1
e889cd2aefeed17de3b84a58c586e3a44e5feacf,2006-08-01T09:05:08,5
021c4b85d5dc7e09d9339482fe0ddeacb40af7cd,2006-08-01T21:31:13,1
a98213071a3b218813ea11c6a69d276945ef13e3,2006-08-02T01:09:17,3
20d59900983f720ec9636da82e802a318dc44812,2006-08-02T02:19:41,1
b2e1912dc7dd87c741ee2855a740e964454f74f1,2006-08-02T19:51:43,9
3f82b8aec0fc19d320402e5705d09308fc6e1a57,2006-08-02T21:02:53,1
df439896898c5fa9510c50863c917a5f54e4313f,2006-08-02T21:21:31,1
b3f8f9de489afbc4bfa18bacaf8e3101944c0510,2006-08-02T21:53:42,2
f2a266c4c2dde0124814c16776f020c120a8ccf2,2006-08-03T00:23:32,3
a6b57c2e9cdfd3524d507ef220e85a1781acc4f2,2006-08-03T01:37:02,1
eb333839db0a818146534fa48745197f5008df6d,2006-08-03T21:16:47,3
0167f87b325cca36dcde23eb43ee5fea5155953b,2006-08-03T23:30:30,1
bc10dd2efd0ab6bd196eecc51d0b31275709ec3d,2006-08-03T23:48:37,1
d1df9344fe663afd0b67f4f81e0b302393647e42,2006-08-04T01:36:48,3
77e7d9737910e0c4ca99a23d95e0b1dada447e9e,2006-08-04T01:56:32,2
ca83f07b459322422b7916f04307b81a553ca193,2006-08-04T22:41:36,1
1a2d048f3df28611a51888d74599285664d3ed30,2006-08-04T23:12:35,3
f70f99e638dad59987486faa23597cfd077c7a10,2006-08-04T23:14:29,1
8c2c40dfe133a1493d5b0d5b8e26ce16eaf5b0d0,2006-08-04T23:14:48,1
8e668339157786e48087de6f33432b8337d86716,2006-08-05T00:02:51,1
f7f225f96dbde0c6ec46a67cf0f8c0a512eb221b,2006-08-05T01:12:30,8
d293c449b1d8a6288a93b700029a2811a2e9e416,2006-08-05T02:07:12,1
b499aded0d302ea393559215aafc6ceea242452d,2006-08-07T21:18:04,1
1e6d57eb5504f67179eb90224c8d243b5d324078,2006-08-07T23:02:31,1
