Version,Name,Size,NR,NAuth,LOC_Touched,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,ChgSetSize,Buggy
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/TestIsolationLevelOverride.java,3,1,1,70,70,70,70.0,70,11,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/TestSelectForUpdateOverride.java,3,1,1,52,52,52,52.0,52,11,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/CompanyModelTest.java,3,1,1,257,257,257,257.0,257,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/IAddress.java,3,1,1,34,34,34,34.0,34,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/ICompany.java,3,1,1,33,33,33,33.0,33,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/ICustomer.java,3,1,1,30,30,30,30.0,30,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/IEmployee.java,3,1,1,33,33,33,33.0,33,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/IFullTimeEmployee.java,3,1,1,22,22,22,22.0,22,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/ILineItem.java,3,1,1,25,25,25,25.0,25,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/IPartTimeEmployee.java,3,1,1,25,25,25,25.0,25,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/IPerson.java,3,1,1,28,28,28,28.0,28,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/IProduct.java,3,1,1,33,33,33,33.0,33,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/IProductOrder.java,3,1,1,33,33,33,33.0,33,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/basic/Address.java,3,1,1,96,96,96,96.0,96,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/basic/Company.java,3,1,1,86,86,86,86.0,86,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/basic/Customer.java,3,1,1,58,58,58,58.0,58,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/basic/Employee.java,3,1,1,70,70,70,70.0,70,67,false
1,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/models/basic/FullTimeEmployee.java,3,1,1,34,34,34,34.0,34,67,false
