Version,Name,Size,NR,NAuth,LOC_Touched,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,ChgSetSize,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,79,1,1,3,2,2,2.0,1,15,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,90,1,1,47,25,25,25.0,3,11,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,113,2,2,1,10,10,5.0,8,15,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,276,3,2,10,61,30,20.333334,60,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,549,6,2,9,182,110,30.333334,172,3,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java,27,1,1,27,27,27,27.0,27,2,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,88,2,1,6,89,84,44.5,88,4,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,283,4,3,13,36,23,9.0,30,25,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,175,2,2,35,12,7,6.0,-18,6,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,507,4,2,46,29,15,7.25,-7,6,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,209,1,1,5,5,5,5.0,5,25,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,147,1,1,7,5,5,5.0,3,5,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,1,1,2,1,1,1.0,0,25,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,236,1,1,236,236,236,236.0,236,13,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,227,3,2,26,49,26,16.333334,46,4,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,172,3,2,5,20,10,6.6666665,18,15,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,507,9,2,2,153,61,17.0,114,15,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,90,1,1,90,90,90,90.0,90,13,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java,58,1,1,58,58,58,58.0,58,13,false
