Class...,... in version ...,... is touched by commit ...,... related to bug...,... which lifecycle is...
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,1,9eb549d4c308963af0be3288a59b0c4c39cbb5e6,BOOKKEEPER-142,1 2
hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestUpdateSubscriptionState.java,1,0975f069d90748eb43fcec7622d3961b0446ea28,BOOKKEEPER-133,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,1,e32715ad96558a9941910dd6ae91fc1c646baeb6,BOOKKEEPER-148,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,1,0d43f404ea145a35d46371967975f9590649a033,BOOKKEEPER-40,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,1,c7c8af741a2f532b554dcdabf85237c23ea14aaa,BOOKKEEPER-150,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,1,c7c8af741a2f532b554dcdabf85237c23ea14aaa,BOOKKEEPER-150,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,1,c7c8af741a2f532b554dcdabf85237c23ea14aaa,BOOKKEEPER-150,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,1,c7c8af741a2f532b554dcdabf85237c23ea14aaa,BOOKKEEPER-150,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,1,f56e596d70c66dac170008ffbe19489eee05be08,BOOKKEEPER-153,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,1,f56e596d70c66dac170008ffbe19489eee05be08,BOOKKEEPER-153,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,1,f56e596d70c66dac170008ffbe19489eee05be08,BOOKKEEPER-153,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,1,f56e596d70c66dac170008ffbe19489eee05be08,BOOKKEEPER-153,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,1,cfe3e650b69b2b599dd5b2f27f2164af38c7a2be,BOOKKEEPER-161,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,1,3272204448bf210d03377ba822d01419ad197a17,BOOKKEEPER-167,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,1,c65d6ada34215ee3a5466c495d565d745857c435,BOOKKEEPER-137,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,1,29a472598083e522645f918ec602dd91d800f0d5,BOOKKEEPER-162,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,1,29a472598083e522645f918ec602dd91d800f0d5,BOOKKEEPER-162,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,1,29a472598083e522645f918ec602dd91d800f0d5,BOOKKEEPER-162,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1,29a472598083e522645f918ec602dd91d800f0d5,BOOKKEEPER-162,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,1,5a3b29d05abd71c6e5d1b3045abafd434db15f24,BOOKKEEPER-152,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,1,5a3b29d05abd71c6e5d1b3045abafd434db15f24,BOOKKEEPER-152,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,1,5a3b29d05abd71c6e5d1b3045abafd434db15f24,BOOKKEEPER-152,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,1,5a3b29d05abd71c6e5d1b3045abafd434db15f24,BOOKKEEPER-152,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,1,3defe9e5110472da995789b5ae14c286f58f1293,BOOKKEEPER-171,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,1,633a23b3a20b27a551328be2efe5f057be3c99e2,BOOKKEEPER-170,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,1,633a23b3a20b27a551328be2efe5f057be3c99e2,BOOKKEEPER-170,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,1,633a23b3a20b27a551328be2efe5f057be3c99e2,BOOKKEEPER-170,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,1,014bcd501c14141facd0e3eb4bb488ccba3a2b7d,BOOKKEEPER-174,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/IndexCorruptionTest.java,1,9523193456992a2edd36106120a8a9f246af6995,BOOKKEEPER-177,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,1,431554da9e2598c73edfbaf671e87cfd9ae94716,BOOKKEEPER-176,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,1,431554da9e2598c73edfbaf671e87cfd9ae94716,BOOKKEEPER-176,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,1,cb8296636b961253f9586f535db285bfafa54a8a,BOOKKEEPER-180,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java,1,c6cc7cca3a85603c8e935ba6d06fbf3d8d7a7eb5,BOOKKEEPER-163,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestReadTimeout.java,1,a4bded985ca1346a17ee0dcf08fe9dcd570dcfb7,BOOKKEEPER-184,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,1,a4bded985ca1346a17ee0dcf08fe9dcd570dcfb7,BOOKKEEPER-184,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,1,a4bded985ca1346a17ee0dcf08fe9dcd570dcfb7,BOOKKEEPER-184,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,1,a4bded985ca1346a17ee0dcf08fe9dcd570dcfb7,BOOKKEEPER-184,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java,1,a4bded985ca1346a17ee0dcf08fe9dcd570dcfb7,BOOKKEEPER-184,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,1,a4bded985ca1346a17ee0dcf08fe9dcd570dcfb7,BOOKKEEPER-184,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,1,3abac4eb86d64286d057d73024a177ef300283b0,BOOKKEEPER-186,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieThrottleTest.java,1,3abac4eb86d64286d057d73024a177ef300283b0,BOOKKEEPER-186,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,1,f3a404e4e6b0d0c2a0b2a83d38cdedaff0683e68,BOOKKEEPER-188,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,1,48304c7c07513a15d26cb61f311c9f4b998fd8fc,BOOKKEEPER-190,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,1,48304c7c07513a15d26cb61f311c9f4b998fd8fc,BOOKKEEPER-190,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SnapshotMap.java,1,30c68b0bebff1e0a012dd81e8f05ebbf83b4ff5f,BOOKKEEPER-193,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/GcLedgersTest.java,1,30c68b0bebff1e0a012dd81e8f05ebbf83b4ff5f,BOOKKEEPER-193,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerManagerTestCase.java,1,30c68b0bebff1e0a012dd81e8f05ebbf83b4ff5f,BOOKKEEPER-193,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,1,682a23fb23c8de7756d5ef226fd6e97dd8d4e561,BOOKKEEPER-112,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,1,682a23fb23c8de7756d5ef226fd6e97dd8d4e561,BOOKKEEPER-112,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,1,47244dd77fb291ec95d5da4c96751ea92bc2d516,BOOKKEEPER-135,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,1,47244dd77fb291ec95d5da4c96751ea92bc2d516,BOOKKEEPER-135,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,1,47244dd77fb291ec95d5da4c96751ea92bc2d516,BOOKKEEPER-135,1 2
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,1,f694716e289c448ab89cab5fa81ea0946f9d9193,BOOKKEEPER-207,1 2
bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,1,f694716e289c448ab89cab5fa81ea0946f9d9193,BOOKKEEPER-207,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCreateDeleteTest.java,1,8f02fb64ec9612af8422f23ed7908d7f6ccf5332,BOOKKEEPER-212,1 2
hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,1,8a1ad4c3208ad0e5b546ab8e5738132698fa56f5,BOOKKEEPER-197,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,1,2f25ef611dd2c8ea2c94b48af09f183d74b6167e,BOOKKEEPER-173,1 2
hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/AlreadyStartDeliveryException.java,1,f7c1ad57ead301df4d3326b5d8c8950964387fa9,BOOKKEEPER-56,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,1,6fc326ebd647afbbcc0beab6764b5d3748e50088,BOOKKEEPER-232,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,1,6fc326ebd647afbbcc0beab6764b5d3748e50088,BOOKKEEPER-232,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,1,6fc326ebd647afbbcc0beab6764b5d3748e50088,BOOKKEEPER-232,1 2
hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java,1,3e224c4b6d4a0d9317060f7fe0d3519fccc68f5a,BOOKKEEPER-215,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,1,9efe73998fe1ee72ffae95f3e1b1e65884019710,BOOKKEEPER-242,1 2
hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java,1,73dc3481846fdc0c97944c6a7c6ce0cef17ee938,BOOKKEEPER-72,1 2
hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java,1,73dc3481846fdc0c97944c6a7c6ce0cef17ee938,BOOKKEEPER-72,1 2
hedwig-server/src/main/java/org/apache/hedwig/admin/console/ReadTopic.java,1,73dc3481846fdc0c97944c6a7c6ce0cef17ee938,BOOKKEEPER-72,1 2
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/NettyHandlerBean.java,1,73dc3481846fdc0c97944c6a7c6ce0cef17ee938,BOOKKEEPER-72,1 2
hedwig-server/src/main/java/org/apache/hedwig/server/netty/ServerStats.java,1,73dc3481846fdc0c97944c6a7c6ce0cef17ee938,BOOKKEEPER-72,1 2
hedwig-client/src/main/java/org/apache/hedwig/filter/ClientMessageFilter.java,1,73dc3481846fdc0c97944c6a7c6ce0cef17ee938,BOOKKEEPER-72,1 2
hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,1,73dc3481846fdc0c97944c6a7c6ce0cef17ee938,BOOKKEEPER-72,1 2
bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,1,67cbcdd7a2d1668c9bba0d45d6ea3235e4bd11e3,BOOKKEEPER-263,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,1,67cbcdd7a2d1668c9bba0d45d6ea3235e4bd11e3,BOOKKEEPER-263,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,1,67cbcdd7a2d1668c9bba0d45d6ea3235e4bd11e3,BOOKKEEPER-263,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,1,a1eac18799ddc640bd42e6c038a31e1e26769056,BOOKKEEPER-260,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,1,a1eac18799ddc640bd42e6c038a31e1e26769056,BOOKKEEPER-260,1 2
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1,a1eac18799ddc640bd42e6c038a31e1e26769056,BOOKKEEPER-260,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,1,1dde3e5191e51a6f648c0d16b14ecc1e02fcff0a,BOOKKEEPER-258,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTest.java,1,10b9c5b40bcb66690f6a25330500610c8b296779,BOOKKEEPER-281,1 2
bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestBackwardCompat.java,1,18728877881a23d2639eb650d47b7c41bbccd9ca,BOOKKEEPER-292,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java,1,d193780cc404c2e3694c82385d7f422accc416f3,BOOKKEEPER-307,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,1,d193780cc404c2e3694c82385d7f422accc416f3,BOOKKEEPER-307,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/DataFormats.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,1,744edf07394472d3146e57831592a69d5a86616c,BOOKKEEPER-303,1 2 3
hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManager.java,2,4d15e5675c0394cb910e54c9b0d9743e98fb64c7,BOOKKEEPER-302,2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,1,de432058b7e7c026fcf0b69b1e20bcf9ae1b1de2,BOOKKEEPER-280,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1,763479b6f94fd4827ee28e9f698cfa9a31095061,BOOKKEEPER-324,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,1,763479b6f94fd4827ee28e9f698cfa9a31095061,BOOKKEEPER-324,1 2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,2,09e5d180231f5307a58a89d0c89169bca890bddf,BOOKKEEPER-294,2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java,2,09e5d180231f5307a58a89d0c89169bca890bddf,BOOKKEEPER-294,2 3
bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java,2,09e5d180231f5307a58a89d0c89169bca890bddf,BOOKKEEPER-294,2 3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,1,df619306ca4c6dd9eba94cbc5ce159e43a5b9ee5,BOOKKEEPER-327,1 2 3
