ReferringTicketID,1,2,3,4,5,6,7,8,9,10,11,12,13,JIRACheck
BOOKKEEPER-146,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-148,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-150,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-152,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-153,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-156,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-161,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-162,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-163,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-166,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-167,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-169,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-170,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-171,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-173,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-174,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-176,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-177,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-180,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-182,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-184,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-186,IOA,F,-,-,-,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-188,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-189,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-190,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-193,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-194,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-195,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-197,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-198,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-207,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-209,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-211,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-212,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-213,IOA,F,-,-,-,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-215,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-216,IOA,F,-,-,-,-,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
