Dataset,#TrainingRelease,%training,%Defective_in_training,%Defective_in_testing,Feature_Selection,Balancing,Sensitivity,Classifier,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,NoCostSensitive,RandomForest,14.0,20.0,1132.0,107.0,0.4117647058823529,0.11570247933884298,0.8365580521120294,0.14499145895804566
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,NoCostSensitive,NaiveBayes,121.0,358.0,794.0,0.0,0.25260960334029225,1.0,0.8683245810376492,0.2965786979727791
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,NoCostSensitive,IBk,17.0,103.0,1049.0,104.0,0.14166666666666666,0.14049586776859505,0.5284700700183654,0.05127577379902275
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,SensitiveThreshold,RandomForest,113.0,383.0,769.0,8.0,0.22782258064516128,0.9338842975206612,0.8007095098714417,0.2519743496105402
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,SensitiveThreshold,NaiveBayes,121.0,360.0,792.0,0.0,0.2515592515592516,1.0,0.84375,0.29489309848233075
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,SensitiveThreshold,IBk,17.0,103.0,1049.0,104.0,0.14166666666666666,0.14049586776859505,0.5255430727731865,0.05127577379902275
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,SensitiveLearning,RandomForest,81.0,199.0,953.0,40.0,0.2892857142857143,0.6694214876033058,0.8633780991735537,0.3127669618917899
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,SensitiveLearning,NaiveBayes,121.0,360.0,792.0,0.0,0.2515592515592516,1.0,0.867653810835629,0.29489309848233075
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,NoSampling,SensitiveLearning,IBk,17.0,103.0,1049.0,104.0,0.14166666666666666,0.14049586776859505,0.5284700700183654,0.05127577379902275
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,NoCostSensitive,RandomForest,0.0,0.0,1152.0,121.0,0.0,0.0,0.8503572658402204,0.0
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,NoCostSensitive,NaiveBayes,103.0,491.0,661.0,18.0,0.1734006734006734,0.8512396694214877,0.791056875573921,0.1545964691622513
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,NoCostSensitive,IBk,108.0,231.0,921.0,13.0,0.3185840707964602,0.8925619834710744,0.8460205750688705,0.383145795186896
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,SensitiveThreshold,RandomForest,121.0,833.0,319.0,0.0,0.12683438155136267,1.0,0.6384548611111112,0.06785999031299916
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,SensitiveThreshold,NaiveBayes,104.0,498.0,654.0,17.0,0.17275747508305647,0.859504132231405,0.7136062327823691,0.15373792266633976
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,SensitiveThreshold,IBk,121.0,1152.0,0.0,0.0,0.09505106048703849,1.0,0.5,0.0
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,SensitiveLearning,RandomForest,0.0,0.0,1152.0,121.0,0.0,0.0,0.8095191976584022,0.0
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,SensitiveLearning,NaiveBayes,80.0,181.0,971.0,41.0,0.3065134099616858,0.6611570247933884,0.8370243629476584,0.3320965012620412
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,UnderSampling,SensitiveLearning,IBk,106.0,240.0,912.0,15.0,0.3063583815028902,0.8760330578512396,0.8338498622589532,0.36444585411123437
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,OverSampling,NoCostSensitive,RandomForest,44.0,119.0,1033.0,77.0,0.26993865030674846,0.36363636363636365,0.8009677743342516,0.22533733226529556
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,OverSampling,NoCostSensitive,NaiveBayes,121.0,360.0,792.0,0.0,0.2515592515592516,1.0,0.8468886306244261,0.29489309848233075
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,OverSampling,NoCostSensitive,IBk,23.0,114.0,1038.0,98.0,0.1678832116788321,0.19008264462809918,0.6247811926078971,0.08603359523164443
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,OverSampling,SensitiveThreshold,RandomForest,117.0,553.0,599.0,4.0,0.1746268656716418,0.9669421487603306,0.7434537132690542,0.16067888016496162
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,OverSampling,SensitiveThreshold,NaiveBayes,121.0,360.0,792.0,0.0,0.2515592515592516,1.0,0.84375,0.29489309848233075
OPENJPA,1,7.426642430537523,0.7465593352376007,0.7855102570760841,NoFilter,OverSampling,SensitiveThreshold,IBk,23.0,114.0,1038.0,98.0,0.1678832116788321,0.19008264462809918,0.545562155647383,0.08603359523164443
