Dataset,#TrainingRelease,%training,%Defective_in_training,%Defective_in_testing,Feature_Selection,Balancing,Sensitivity,Classifier,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,NoCostSensitive,RandomForest,124.0,105.0,20.0,15.0,0.5414847161572053,0.8920863309352518,0.7304748201438849,0.05404598387578383
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,NoCostSensitive,NaiveBayes,137.0,120.0,5.0,2.0,0.5330739299610895,0.9856115107913669,0.6635971223021583,0.026889842286542846
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,NoCostSensitive,IBk,113.0,67.0,58.0,26.0,0.6277777777777778,0.8129496402877698,0.6384748201438849,0.28160112359550554
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,SensitiveThreshold,RandomForest,139.0,125.0,0.0,0.0,0.5265151515151515,1.0,0.5,0.0
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,SensitiveThreshold,NaiveBayes,137.0,120.0,5.0,2.0,0.5330739299610895,0.9856115107913669,0.5128057553956834,0.026889842286542846
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,SensitiveThreshold,IBk,113.0,67.0,58.0,26.0,0.6277777777777778,0.8129496402877698,0.6384748201438849,0.28160112359550554
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,SensitiveLearning,RandomForest,139.0,125.0,0.0,0.0,0.5265151515151515,1.0,0.7442877697841727,0.0
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,SensitiveLearning,NaiveBayes,137.0,120.0,5.0,2.0,0.5330739299610895,0.9856115107913669,0.660431654676259,0.026889842286542846
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,NoSampling,SensitiveLearning,IBk,113.0,67.0,58.0,26.0,0.6277777777777778,0.8129496402877698,0.6384748201438849,0.28160112359550554
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,NoCostSensitive,RandomForest,0.0,0.0,125.0,139.0,0.0,0.0,0.7580143884892087,0.0
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,NoCostSensitive,NaiveBayes,82.0,63.0,62.0,57.0,0.5655172413793104,0.5899280575539568,0.5587338129496403,0.08613627185138165
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,NoCostSensitive,IBk,87.0,30.0,95.0,52.0,0.7435897435897436,0.6258992805755396,0.6929496402877697,0.38250898511038867
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,SensitiveThreshold,RandomForest,132.0,94.0,31.0,7.0,0.584070796460177,0.9496402877697842,0.5988201438848921,0.2048192771084337
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,SensitiveThreshold,NaiveBayes,89.0,63.0,62.0,50.0,0.5855263157894737,0.6402877697841727,0.5681438848920863,0.13700532284193492
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,SensitiveThreshold,IBk,139.0,125.0,0.0,0.0,0.5265151515151515,1.0,0.5,0.0
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,SensitiveLearning,RandomForest,0.0,0.0,125.0,139.0,0.0,0.0,0.7103597122302159,0.0
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,SensitiveLearning,NaiveBayes,62.0,23.0,102.0,77.0,0.7294117647058823,0.4460431654676259,0.6515971223021583,0.25646369627668564
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,UnderSampling,SensitiveLearning,IBk,41.0,5.0,120.0,98.0,0.8913043478260869,0.2949640287769784,0.6274820143884892,0.24575613003439478
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,OverSampling,NoCostSensitive,RandomForest,112.0,65.0,60.0,27.0,0.632768361581921,0.8057553956834532,0.7062446043165468,0.29019814132912497
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,OverSampling,NoCostSensitive,NaiveBayes,137.0,120.0,5.0,2.0,0.5330739299610895,0.9856115107913669,0.6650647482014388,0.026889842286542846
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,OverSampling,NoCostSensitive,IBk,113.0,67.0,58.0,26.0,0.6277777777777778,0.8129496402877698,0.659136690647482,0.28160112359550554
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,OverSampling,SensitiveThreshold,RandomForest,139.0,125.0,0.0,0.0,0.5265151515151515,1.0,0.5,0.0
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,OverSampling,SensitiveThreshold,NaiveBayes,137.0,120.0,5.0,2.0,0.5330739299610895,0.9856115107913669,0.5128057553956834,0.026889842286542846
BOOKKEEPER,1,12.732615083251714,9.10871694417238,13.614103819784525,NoFilter,OverSampling,SensitiveThreshold,IBk,113.0,67.0,58.0,26.0,0.6277777777777778,0.8129496402877698,0.6384748201438849,0.28160112359550554
