Dataset,#TrainingRelease,%training,%Defective_in_training,%Defective_in_testing,Classifier,Feature_Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,OverSampling,SensitiveLearning,153.0,141.0,32.0,25.0,0.5204081632653061,0.8595505617977528,0.5950347470286419,0.04494492525570427
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,SMOTESampling,NoCostSensitive,135.0,86.0,87.0,43.0,0.6108597285067874,0.7584269662921348,0.673524063129181,0.2622325778436772
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,SMOTESampling,SensitiveThreshold,163.0,149.0,24.0,15.0,0.5224358974358975,0.9157303370786517,0.5272293303890369,0.05505761843790002
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,NoFilter,SMOTESampling,SensitiveLearning,163.0,167.0,6.0,15.0,0.49393939393939396,0.9157303370786517,0.598850425407547,-0.05020714144801746
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,NoSampling,NoCostSensitive,136.0,99.0,74.0,42.0,0.5787234042553191,0.7640449438202247,0.66613626031045,0.1926822504608258
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,NoSampling,SensitiveThreshold,178.0,172.0,1.0,0.0,0.5085714285714286,1.0,0.5028901734104047,0.005862205243050899
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,NoSampling,SensitiveLearning,178.0,172.0,1.0,0.0,0.5085714285714286,1.0,0.66613626031045,0.005862205243050899
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,UnderSampling,NoCostSensitive,38.0,68.0,105.0,140.0,0.3584905660377358,0.21348314606741572,0.35182178346431126,-0.1785368373474527
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,UnderSampling,SensitiveThreshold,38.0,68.0,105.0,140.0,0.3584905660377358,0.21348314606741572,0.41020978112619344,-0.1785368373474527
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,UnderSampling,SensitiveLearning,98.0,38.0,135.0,80.0,0.7205882352941176,0.550561797752809,0.727625511463272,0.3297841354089129
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,OverSampling,NoCostSensitive,135.0,85.0,88.0,43.0,0.6136363636363636,0.7584269662921348,0.6699519386893551,0.2680113395679235
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,OverSampling,SensitiveThreshold,178.0,171.0,2.0,0.0,0.5100286532951289,1.0,0.5057803468208093,0.011723445243936412
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,OverSampling,SensitiveLearning,153.0,141.0,32.0,25.0,0.5204081632653061,0.8595505617977528,0.5950347470286419,0.04494492525570427
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,SMOTESampling,NoCostSensitive,135.0,86.0,87.0,43.0,0.6108597285067874,0.7584269662921348,0.673524063129181,0.2622325778436772
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,SMOTESampling,SensitiveThreshold,163.0,149.0,24.0,15.0,0.5224358974358975,0.9157303370786517,0.5272293303890369,0.05505761843790002
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,NaiveBayes,BestFirstFilter,SMOTESampling,SensitiveLearning,163.0,167.0,6.0,15.0,0.49393939393939396,0.9157303370786517,0.598850425407547,-0.05020714144801746
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,NoSampling,NoCostSensitive,164.0,108.0,65.0,14.0,0.6029411764705882,0.9213483146067416,0.6458725725790738,0.2993553453974279
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,NoSampling,SensitiveThreshold,164.0,108.0,65.0,14.0,0.6029411764705882,0.9213483146067416,0.6485354289796713,0.2993553453974279
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,NoSampling,SensitiveLearning,164.0,108.0,65.0,14.0,0.6029411764705882,0.9213483146067416,0.6458725725790738,0.2993553453974279
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,UnderSampling,NoCostSensitive,45.0,70.0,103.0,133.0,0.391304347826087,0.25280898876404495,0.4240923556536988,-0.15104276044779733
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,UnderSampling,SensitiveThreshold,178.0,173.0,0.0,0.0,0.5071225071225072,1.0,0.5,0.0
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,UnderSampling,SensitiveLearning,67.0,67.0,106.0,111.0,0.5,0.37640449438202245,0.4945606286939014,-0.010840020709293288
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,OverSampling,NoCostSensitive,163.0,108.0,65.0,15.0,0.6014760147601476,0.9157303370786517,0.6302364096901993,0.29367014053629575
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,OverSampling,SensitiveThreshold,163.0,108.0,65.0,15.0,0.6014760147601476,0.9157303370786517,0.6457264402156264,0.29367014053629575
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,OverSampling,SensitiveLearning,173.0,167.0,6.0,5.0,0.5088235294117647,0.9719101123595506,0.44297590439696044,0.006680048701832951
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,SMOTESampling,NoCostSensitive,156.0,101.0,72.0,22.0,0.6070038910505836,0.8764044943820225,0.6437617717737222,0.29447812658310596
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,SMOTESampling,SensitiveThreshold,156.0,101.0,72.0,22.0,0.6070038910505836,0.8764044943820225,0.6462947327401442,0.29447812658310596
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,NoFilter,SMOTESampling,SensitiveLearning,173.0,161.0,12.0,5.0,0.5179640718562875,0.9719101123595506,0.45161395076963046,0.041803710038152884
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,BestFirstFilter,NoSampling,NoCostSensitive,164.0,108.0,65.0,14.0,0.6029411764705882,0.9213483146067416,0.6458725725790738,0.2993553453974279
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,BestFirstFilter,NoSampling,SensitiveThreshold,164.0,108.0,65.0,14.0,0.6029411764705882,0.9213483146067416,0.6485354289796713,0.2993553453974279
BOOKKEEPER,1,15.824357912178955,11.764705882352942,14.747307373653687,IBk,BestFirstFilter,NoSampling,SensitiveLearning,164.0,108.0,65.0,14.0,0.6029411764705882,0.9213483146067416,0.6458725725790738,0.2993553453974279
